building_id,raw_noise_day_dba,raw_noise_night_dba,raw_daylight_klx,raw_view_sky_sr,raw_view_greenery_sr,raw_poi_count,noise_lden,noise_lnight,daylight,view_sky,view_greenery,location_poi,dwelling_id,fli_score,linguistic_label,num_activated_rules
2528,52.2003883807404,42.2301182330024,1.5355073102796164,0.0227123451191945,0.0229231984303804,310.0,52.2003883807404,42.2301182330024,1.5355073102796164,0.0227123451191945,0.0229231984303804,2.4927603890268375,1871,43.72548863752526,fair,3
2529,57.0752825529431,46.8113721811358,1.774167701670188,0.0292688995652714,0.0162095121090275,308.0,57.0752825529431,46.8113721811358,1.774167701670188,0.0292688995652714,0.0162095121090275,2.4899584794248346,1872,39.999999999999986,fair,1
2530,52.723673583007,44.4273853638078,1.2281521372480693,0.0235384994938023,0.0103558865821255,290.0,52.723673583007,44.4273853638078,1.2281521372480693,0.0235384994938023,0.0103558865821255,2.4638929889859074,1873,39.99999999999999,fair,1
2533,57.965769324196,47.445671272767896,1.1795015556783408,0.0180786095830906,0.0133490231545482,311.0,57.965769324196,47.445671272767896,1.1795015556783408,0.0180786095830906,0.0133490231545482,2.494154594018443,1874,39.12458038260733,fair,2
2534,67.9994645313468,57.686519292909,1.1931473103822487,0.0241178380925151,0.0201365899040552,322.0,67.9994645313468,57.686519292909,1.1931473103822487,0.0241178380925151,0.0201365899040552,2.509202522331103,1875,14.246483377090236,poor,1
2543,56.33654931689186,48.071014766927185,1.0711820125655835,0.0208428274778141,0.0066199320127938,35.0,56.33654931689186,48.071014766927185,1.0711820125655835,0.0208428274778141,0.0066199320127938,1.5563025007672873,1876,35.50384337895104,fair,2
2545,61.7369070545289,53.96163934992741,2.2813339579518956,0.0402039459264869,0.0005666858865606,1060.0,61.7369070545289,53.96163934992741,2.2813339579518956,0.0402039459264869,0.0005666858865606,3.025715383901341,1877,26.84171632733714,fair,7
2546,65.3806741960767,57.733956333891,0.808195744475996,0.0100515533801232,0.0005899980979799,1048.0,65.3806741960767,57.733956333891,0.808195744475996,0.0100515533801232,0.0005899980979799,3.020775488193558,1878,22.59855893911452,poor,7
2547,52.1763177581978,42.4255963654013,1.3391853499348776,0.0297602482871945,0.0016922440254359,297.0,52.1763177581978,42.4255963654013,1.3391853499348776,0.0297602482871945,0.0016922440254359,2.4742162640762553,1879,40.0,fair,3
2548,53.8974112561608,44.1374546947473,1.3585115282132871,0.0197111166085459,0.0110460006375341,305.0,53.8974112561608,44.1374546947473,1.3585115282132871,0.0197111166085459,0.0110460006375341,2.48572142648158,1880,40.000000000000014,fair,1
2549,51.4215909068658,40.7793418822473,2.1037247452690684,0.0302964257583673,0.008186986381573,319.0,51.4215909068658,40.7793418822473,2.1037247452690684,0.0302964257583673,0.008186986381573,2.505149978319906,1881,51.80600016457203,good,3
2678,58.6824274798409,51.3977035993005,1.0463131932116805,0.0192216130831791,0.0071976388573004,642.0,58.6824274798409,51.3977035993005,1.0463131932116805,0.0192216130831791,0.0071976388573004,2.808210972924222,1882,33.79472735497101,fair,2
2679,57.1575311506504,49.9187464415074,1.332510568226703,0.020754763866559,0.0072089474811029,662.0,57.1575311506504,49.9187464415074,1.332510568226703,0.020754763866559,0.0072089474811029,2.821513528404773,1883,39.999999999999986,fair,1
2779,45.8851282120441,31.9160540054444,1.0846900300753677,0.0167219511247447,3.0716779176002496e-05,782.0,45.8851282120441,31.9160540054444,1.0846900300753677,0.0167219511247447,3.0716779176002496e-05,2.893761762057943,1884,31.552574666282784,fair,5
2782,58.68323769893,50.68323769893,0.3511590779146798,0.0043696418102017,4.958526720117198e-06,1706.0,58.68323769893,50.68323769893,0.3511590779146798,0.0043696418102017,4.958526720117198e-06,3.2322335211147335,1885,22.386387586394157,poor,3
2783,70.9837559291694,61.7787459405391,1.4428457900831275,0.0163603121526234,0.0001947313399724,1691.0,70.9837559291694,61.7787459405391,1.4428457900831275,0.0163603121526234,0.0001947313399724,3.228400358703005,1886,22.094125419952814,poor,7
2790,58.4259704624478,49.1794531641417,2.434796701106811,0.0435369035678858,0.0035949449902966,123.0,58.4259704624478,49.1794531641417,2.434796701106811,0.0435369035678858,0.0035949449902966,2.093421685162235,1887,40.0,fair,1
2791,63.14226012133218,53.11800560967537,1.627843827093023,0.0251971086183107,0.0017709067540399,1589.0,63.14226012133218,53.11800560967537,1.627843827093023,0.0251971086183107,0.0017709067540399,3.2013971243204513,1888,34.48889571909172,fair,8
2792,,,1.1610596083568987,0.0195439261968811,0.0088760376758114,2594.0,,,1.1610596083568987,0.0195439261968811,0.0088760376758114,3.414137362184477,1889,40.00000000000002,fair,2
2793,69.25707690240931,61.552766950014544,1.699196894016551,0.0245190060227761,0.0010936092488106,803.0,69.25707690240931,61.552766950014544,1.699196894016551,0.0245190060227761,0.0010936092488106,2.905256048748451,1890,22.307336665722506,poor,6
2794,65.3579172297649,57.3581021681825,1.7417154267577428,0.0352545948135583,0.0257105448672544,238.0,65.3579172297649,57.3581021681825,1.7417154267577428,0.0352545948135583,0.0257105448672544,2.3783979009481375,1891,14.41319759250743,poor,1
2795,55.410686762837,40.5914902575506,1.7781713063402278,0.0289159285173281,0.0052011564693201,437.0,55.410686762837,40.5914902575506,1.7781713063402278,0.0289159285173281,0.0052011564693201,2.6414741105040997,1892,39.999999999999986,fair,3
2796,67.67611885927428,58.48499961953046,0.1357452032455014,0.0026846205925478,0.0011659732533793,844.0,67.67611885927428,58.48499961953046,0.1357452032455014,0.0026846205925478,0.0011659732533793,2.926856708949692,1893,20.09445102607978,poor,7
2797,55.996274938591206,48.539628434974915,2.6546974265273247,0.0499350487328221,0.0165329110823601,267.0,55.996274938591206,48.539628434974915,2.6546974265273247,0.0499350487328221,0.0165329110823601,2.428134794028789,1894,40.0,fair,1
2798,57.1849604984589,47.8507811837844,1.958788103521258,0.0309532599260809,0.0061295077053519,380.0,57.1849604984589,47.8507811837844,1.958788103521258,0.0309532599260809,0.0061295077053519,2.5809249756756194,1895,39.999999999999986,fair,1
2799,54.56323868784439,47.5632386878444,0.9612136464699692,0.0174601258184909,0.0081839009128136,312.0,54.56323868784439,47.5632386878444,0.9612136464699692,0.0174601258184909,0.0081839009128136,2.4955443375464483,1896,32.42937991642137,fair,2
2800,46.56212422139,35.5064942129044,1.0266994876360338,0.0164269568642864,0.0095947840583437,181.0,46.56212422139,35.5064942129044,1.0266994876360338,0.0164269568642864,0.0095947840583437,2.2600713879850747,1897,39.999999999999986,fair,2
2801,43.21493674719021,32.1639445731388,1.048013859495272,0.0194624902979362,0.0110415159838486,154.0,43.21493674719021,32.1639445731388,1.048013859495272,0.0194624902979362,0.0110415159838486,2.1903316981702914,1898,40.00000000000002,fair,2
2802,40.3984470019832,29.3351024001013,1.0174054845457836,0.0170851377701827,0.0107189206728199,132.0,40.3984470019832,29.3351024001013,1.0174054845457836,0.0170851377701827,0.0107189206728199,2.123851640967086,1899,39.99999999999997,fair,2
2803,40.10673436709189,30.5548152494621,1.126488611770416,0.0212256725022471,0.0084810184596486,119.0,40.10673436709189,30.5548152494621,1.126488611770416,0.0212256725022471,0.0084810184596486,2.0791812460476247,1900,39.999999999999986,fair,1
2805,40.551000251577406,30.498587086827904,2.0772331374019286,0.037745173821016,0.0067105489723854,1161.0,40.551000251577406,30.498587086827904,2.0772331374019286,0.037745173821016,0.0067105489723854,3.065206128054312,1901,60.00000000000004,good,3
2806,45.4167565335149,36.0830092171594,1.851531203007622,0.0400456459154253,0.0203680891471612,212.0,45.4167565335149,36.0830092171594,1.851531203007622,0.0400456459154253,0.0203680891471612,2.3283796034387376,1902,71.47550239226821,excellent,3
2807,70.019709648505,58.2037652427404,2.370864998303906,0.0391616975479911,0.008349313994808,661.0,70.019709648505,58.2037652427404,2.370864998303906,0.0391616975479911,0.008349313994808,2.8208579894397,1903,18.875573721949273,poor,3
2827,63.4068719138332,55.1168084526923,1.9933746962416483,0.0389930074665982,0.007630956010515,1109.0,63.4068719138332,55.1168084526923,1.9933746962416483,0.0389930074665982,0.007630956010515,3.0453229787866576,1904,23.84562823338832,poor,5
2828,33.544167718469,22.9458049853596,1.7089159971236891,0.0259550602631001,0.0004170382127051,79.0,33.544167718469,22.9458049853596,1.7089159971236891,0.0259550602631001,0.0004170382127051,1.9030899869919435,1905,40.0,fair,2
2829,34.6733041426446,24.9429351103123,1.7737138438475455,0.0281615466177528,0.0012380503750335,68.0,34.6733041426446,24.9429351103123,1.7737138438475455,0.0281615466177528,0.0012380503750335,1.8388490907372552,1906,40.0,fair,2
